Algorithm, Case, Time(ms), Hull Ratio
Jarvis,Average,0.1481,0.09
Jarvis,Average,0.1888,0.16
Jarvis,Average,0.2421,0.11
Jarvis,Average,0.2007,0.14
Jarvis,Average,0.1519,0.12
Jarvis,Average,0.1653,0.13
Jarvis,Average,0.1583,0.1
Jarvis,Average,0.1901,0.13
Jarvis,Average,0.1617,0.11
Jarvis,Average,0.0947,0.07
Graham,Average,0.0503,0.09
Graham,Average,0.0486,0.16
Graham,Average,0.0474,0.11
Graham,Average,0.0482,0.14
Graham,Average,0.0472,0.12
Graham,Average,0.0474,0.13
Graham,Average,0.0456,0.1
Graham,Average,0.046,0.13
Graham,Average,0.0457,0.11
Graham,Average,0.0462,0.05
Jarvis,Best,0.2676,0.01
Jarvis,Best,0.2419,0.0111111
Jarvis,Best,0.2143,0.0125
Jarvis,Best,0.1879,0.0142857
Jarvis,Best,0.1605,0.0166667
Jarvis,Best,0.1345,0.02
Jarvis,Best,0.1095,0.025
Jarvis,Best,0.0819,0.0333333
Jarvis,Best,0.0565,0.05
Jarvis,Best,0.0305,0.1
Graham,Best,0.1373,0.01
Graham,Best,0.1266,0.0111111
Graham,Best,0.1222,0.0125
Graham,Best,0.0997,0.0142857
Graham,Best,0.0861,0.0166667
Graham,Best,0.071,0.02
Graham,Best,0.0581,0.025
Graham,Best,0.0455,0.0333333
Graham,Best,0.0308,0.05
Graham,Best,0.0173,0.1
Jarvis,Worst,1.8216,1
Jarvis,Worst,1.82,1
Jarvis,Worst,1.6668,1
Jarvis,Worst,1.6444,1
Jarvis,Worst,1.634,1
Jarvis,Worst,2.574,1
Jarvis,Worst,2.123,1
Jarvis,Worst,2.4775,1
Jarvis,Worst,1.9264,1
Jarvis,Worst,2.1096,1
Graham,Worst,0.0402,1
Graham,Worst,0.0571,1
Graham,Worst,0.0505,1
Graham,Worst,0.0357,1
Graham,Worst,0.0401,1
Graham,Worst,0.0355,1
Graham,Worst,0.078,1
Graham,Worst,0.0499,1
Graham,Worst,0.0556,1
Graham,Worst,0.0965,1
